Type;Category;Family;Genus;Species;Mean_BodySize_µm;Habitat;Name;Sub-Phylum;Name_Abbreviation;Log10_BodySize
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;angustata;62.5;ben;Nitzschia angustata;phytoplankton;Ntzschan;1.79588001734408
Unicellular;Phytobenthos;Fragilariaceae;Fragilaria;tenera;62.5;ben;Fragilaria tenera;phytoplankton;Frgt;1.79588001734408
Unicellular;Phytobenthos;Cymbellaceae;Cymbella;lange-bertalotii;61;ben;Cymbella lange-bertalotii;phytoplankton;Cln-;1.78532983501077
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;alpinobacillum;59;ben;Nitzschia alpinobacillum;phytoplankton;Ntzschal;1.77085201164214
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;intermedia;59;ben;Nitzschia intermedia;phytoplankton;Ntzi;1.77085201164214
Unicellular;Phytobenthos;Naviculaceae;Navicula;rotunda;55.5;ben;Navicula rotunda;phytoplankton;Nvclrt;1.74429298312268
Unicellular;Phytobenthos;Naviculaceae;Navicula;gottlandica;55.5;ben;Navicula gottlandica;phytoplankton;Nvclgt;1.74429298312268
Unicellular;Phytobenthos;Naviculaceae;Navicula;associata;55.5;ben;Navicula associata;phytoplankton;Nvclas;1.74429298312268
Unicellular;Phytobenthos;Naviculaceae;Navicula;praeterita;55.5;ben;Navicula praeterita;phytoplankton;Nvcp;1.74429298312268
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;denticula;55;ben;Nitzschia denticula;phytoplankton;Ntzschdn;1.74036268949424
Unicellular;Ciliates;Glaucomidae;Glaucoma;chattoni;52.5;pel;Glaucoma chattoni;invertebrate;Glcc;1.72015930340596
Unicellular;Cyanobacteria;Nostocaceae;Aphanizomenon;flos-aquae;52.5;pel;Aphanizomenon flos-aquae;cyanobacteria;Afl-;1.72015930340596
Unicellular;Phytobenthos;Bacillariaceae;Nitzschia;capitellata;52.5;ben;Nitzschia capitellata;phytoplankton;Ntzc;1.72015930340596
Unicellular;Phytoplankton;Gloetilaceae;Gloeotila;spiralis;52.5;pel;Gloeotila spiralis;phytoplankton;Glts;1.72015930340596
